Coefficient,Nodes,Trial,Epsilon,Seed,GroundTruth_MIS,Greedy_MIS,Size_S,Oracle_MIS,Improvement
1.0,100000,0,0.025,0,50170,50146,99999,50145,-1
1.0,100000,0,0.05,0,50170,50146,99994,50142,-4
1.0,100000,0,0.075,0,50170,50146,99968,50117,-29
1.0,100000,0,0.1,0,50170,50146,99852,50007,-139
1.0,100000,0,0.125,0,50170,50146,99461,49635,-511
1.0,100000,0,0.15,0,50170,50146,98213,48457,-1689
1.0,100000,0,0.175,0,50170,50146,96631,46965,-3181
1.0,100000,0,0.2,0,50170,50146,91976,42799,-7347
1.0,100000,0,0.225,0,50170,50146,86522,50018,-128
1.0,100000,0,0.25,0,50170,50146,79506,49903,-243
1.0,100000,1,0.025,42,50174,50174,99998,50173,-1
1.0,100000,1,0.05,42,50174,50174,99993,50173,-1
1.0,100000,1,0.075,42,50174,50174,99964,50171,-3
1.0,100000,1,0.1,42,50174,50174,99856,50170,-4
1.0,100000,1,0.125,42,50174,50174,99470,50170,-4
1.0,100000,1,0.15,42,50174,50174,98202,50154,-20
1.0,100000,1,0.175,42,50174,50174,96789,50145,-29
1.0,100000,1,0.2,42,50174,50174,92090,50108,-66
1.0,100000,1,0.225,42,50174,50174,86956,50053,-121
1.0,100000,1,0.25,42,50174,50174,80076,49938,-236
1.0,100000,2,0.025,84,50171,50171,100000,50171,0
1.0,100000,2,0.05,84,50171,50171,99998,50171,0
1.0,100000,2,0.075,84,50171,50171,99978,50171,0
1.0,100000,2,0.1,84,50171,50171,99886,50170,-1
1.0,100000,2,0.125,84,50171,50171,99513,50157,-14
1.0,100000,2,0.15,84,50171,50171,98316,50142,-29
1.0,100000,2,0.175,84,50171,50171,96888,50135,-36
1.0,100000,2,0.2,84,50171,50171,92391,50089,-82
1.0,100000,2,0.225,84,50171,50171,87205,50031,-140
1.0,100000,2,0.25,84,50171,50171,80425,49914,-257
1.0,100000,3,0.025,126,50194,50161,99999,50160,-1
1.0,100000,3,0.05,126,50194,50161,99997,50159,-2
1.0,100000,3,0.075,126,50194,50161,99974,50137,-24
1.0,100000,3,0.1,126,50194,50161,99862,50030,-131
