Coefficient,Nodes,Trial,Epsilon,Seed,GroundTruth_MIS,Greedy_MIS,Size_S,Oracle_MIS,Improvement
14.0,95000,0,0.025,0,47500,47120,95000,47120,0
2.0,95000,0,0.025,0,47500,44873,95000,44873,0
5.0,95000,0,0.025,0,47500,46920,95000,46920,0
3.0,95000,0,0.025,0,47500,45482,95000,45482,0
13.0,95000,0,0.025,0,47500,46619,95000,46619,0
6.0,95000,0,0.025,0,47500,46761,95000,46761,0
7.0,95000,0,0.025,0,47500,46387,95000,46387,0
12.0,95000,0,0.025,0,47500,46997,95000,46997,0
11.0,95000,0,0.025,0,47500,46873,95000,46873,0
10.0,95000,0,0.025,0,47500,46920,95000,46920,0
4.0,95000,0,0.025,0,47500,46530,95000,46530,0
8.0,95000,0,0.025,0,47500,46719,95000,46719,0
9.0,95000,0,0.025,0,47500,46743,95000,46743,0
1.0,95000,0,0.025,0,47652,47652,95000,47652,0
14.0,95000,0,0.05,0,47500,47120,95000,47120,0
14.0,95000,0,0.075,0,47500,47120,94997,47117,-3
2.0,95000,0,0.05,0,47500,44873,95000,44873,0
13.0,95000,0,0.05,0,47500,46619,95000,46619,0
12.0,95000,0,0.05,0,47500,46997,95000,46997,0
5.0,95000,0,0.05,0,47500,46920,95000,46920,0
6.0,95000,0,0.05,0,47500,46761,95000,46761,0
7.0,95000,0,0.05,0,47500,46387,95000,46387,0
11.0,95000,0,0.05,0,47500,46873,95000,46873,0
10.0,95000,0,0.05,0,47500,46920,95000,46920,0
8.0,95000,0,0.05,0,47500,46719,95000,46719,0
9.0,95000,0,0.05,0,47500,46743,95000,46743,0
14.0,95000,0,0.1,0,47500,47120,94902,46682,-438
3.0,95000,0,0.05,0,47500,45482,95000,45482,0
4.0,95000,0,0.05,0,47500,46530,95000,46530,0
1.0,95000,0,0.05,0,47652,47652,94996,47652,0
14.0,95000,0,0.125,0,47500,47120,92705,47454,334
13.0,95000,0,0.075,0,47500,46619,94998,46618,-1
12.0,95000,0,0.075,0,47500,46997,94999,46996,-1
2.0,95000,0,0.075,0,47500,44873,94995,44868,-5
14.0,95000,0,0.15,0,47500,47120,80405,47500,380
11.0,95000,0,0.075,0,47500,46873,94999,46872,-1
6.0,95000,0,0.075,0,47500,46761,94999,46760,-1
7.0,95000,0,0.075,0,47500,46387,94999,46386,-1
5.0,95000,0,0.075,0,47500,46920,94998,46918,-2
10.0,95000,0,0.075,0,47500,46920,94997,46917,-3
8.0,95000,0,0.075,0,47500,46719,94999,46718,-1
9.0,95000,0,0.075,0,47500,46743,94998,46741,-2
3.0,95000,0,0.075,0,47500,45482,94999,45463,-19
4.0,95000,0,0.075,0,47500,46530,95000,46530,0
14.0,95000,0,0.175,0,47500,47120,59969,47500,380
13.0,95000,0,0.1,0,47500,46619,94925,46455,-164
12.0,95000,0,0.1,0,47500,46997,94933,46931,-66
15.0,95000,0,0.025,0,47500,46759,95000,46759,0
14.0,95000,0,0.2,0,47500,47120,49334,47500,380
1.0,95000,0,0.075,0,47652,47652,94970,47651,-1
11.0,95000,0,0.1,0,47500,46873,94957,46795,-78
2.0,95000,0,0.1,0,47500,44873,94963,44816,-57
6.0,95000,0,0.1,0,47500,46761,94980,46742,-19
7.0,95000,0,0.1,0,47500,46387,94978,46365,-22
8.0,95000,0,0.1,0,47500,46719,94960,46681,-38
10.0,95000,0,0.1,0,47500,46920,94956,46781,-139
9.0,95000,0,0.1,0,47500,46743,94960,46703,-40
5.0,95000,0,0.1,0,47500,46920,94979,46900,-20
14.0,95000,0,0.225,0,47500,47120,47603,47500,380
4.0,95000,0,0.1,0,47500,46530,94982,46514,-16
15.0,95000,0,0.05,0,47500,46759,95000,46759,0
3.0,95000,0,0.1,0,47500,45482,94975,45304,-178
13.0,95000,0,0.125,0,47500,46619,93145,47417,798
14.0,95000,0,0.25,0,47500,47120,47502,47500,380
12.0,95000,0,0.125,0,47500,46997,93460,47028,31
15.0,95000,0,0.075,0,47500,46759,94998,46757,-2
11.0,95000,0,0.125,0,47500,46873,93747,47006,133
14.0,95000,1,0.025,42,47500,46228,95000,46228,0
6.0,95000,0,0.125,0,47500,46761,94604,46120,-641
2.0,95000,0,0.125,0,47500,44873,94735,44355,-518
7.0,95000,0,0.125,0,47500,46387,94524,45348,-1039
10.0,95000,0,0.125,0,47500,46920,94019,46848,-72
8.0,95000,0,0.125,0,47500,46719,94341,46584,-135
9.0,95000,0,0.125,0,47500,46743,94251,46714,-29
1.0,95000,0,0.1,0,47652,47652,94871,47649,-3
5.0,95000,0,0.125,0,47500,46920,94665,46471,-449
13.0,95000,0,0.15,0,47500,46619,82397,47500,881
4.0,95000,0,0.125,0,47500,46530,94739,46089,-441
14.0,95000,1,0.05,42,47500,46228,95000,46228,0
15.0,95000,0,0.1,0,47500,46759,94896,46658,-101
12.0,95000,0,0.15,0,47500,46997,84344,47500,503
3.0,95000,0,0.125,0,47500,45482,94745,44814,-668
14.0,95000,1,0.075,42,47500,46228,95000,46228,0
11.0,95000,0,0.15,0,47500,46873,86098,47500,627
15.0,95000,0,0.125,0,47500,46759,92228,47500,741
6.0,95000,0,0.15,0,47500,46761,92253,46821,60
2.0,95000,0,0.15,0,47500,44873,93904,45023,150
10.0,95000,0,0.15,0,47500,46920,87657,47500,580
13.0,95000,0,0.175,0,47500,46619,62350,47500,881
8.0,95000,0,0.15,0,47500,46719,90266,47500,781
7.0,95000,0,0.15,0,47500,46387,91352,47288,901
9.0,95000,0,0.15,0,47500,46743,89050,47476,733
14.0,95000,1,0.1,42,47500,46228,94895,46228,0
12.0,95000,0,0.175,0,47500,46997,64829,47500,503
5.0,95000,0,0.15,0,47500,46920,92752,46972,52
4.0,95000,0,0.15,0,47500,46530,93366,46356,-174
1.0,95000,0,0.125,0,47652,47652,94528,47647,-5
15.0,95000,0,0.15,0,47500,46759,78202,47500,741
3.0,95000,0,0.15,0,47500,45482,93696,45008,-474
14.0,95000,1,0.125,42,47500,46228,92461,47410,1182
13.0,95000,0,0.2,0,47500,46619,50253,47500,881
11.0,95000,0,0.175,0,47500,46873,68183,47500,627
6.0,95000,0,0.175,0,47500,46761,84057,47500,739
15.0,95000,0,0.175,0,47500,46759,57598,47500,741
10.0,95000,0,0.175,0,47500,46920,71472,47500,580
8.0,95000,0,0.175,0,47500,46719,77933,47500,781
7.0,95000,0,0.175,0,47500,46387,81022,47500,1113
9.0,95000,0,0.175,0,47500,46743,74929,47500,757
2.0,95000,0,0.175,0,47500,44873,91477,45047,174
14.0,95000,1,0.15,42,47500,46228,79550,47500,1272
12.0,95000,0,0.2,0,47500,46997,51436,47500,503
5.0,95000,0,0.175,0,47500,46920,86366,47500,580
4.0,95000,0,0.175,0,47500,46530,88531,47185,655
14.0,95000,1,0.175,42,47500,46228,58909,47500,1272
15.0,95000,0,0.2,0,47500,46759,48699,47500,741
13.0,95000,0,0.225,0,47500,46619,47699,47500,881
11.0,95000,0,0.2,0,47500,46873,53062,47500,627
3.0,95000,0,0.175,0,47500,45482,89834,47063,1581
1.0,95000,0,0.15,0,47652,47652,93422,47622,-30
12.0,95000,0,0.225,0,47500,46997,47874,47500,503
14.0,95000,1,0.2,42,47500,46228,49096,47500,1272
10.0,95000,0,0.2,0,47500,46920,55242,47500,580
6.0,95000,0,0.2,0,47500,46761,69461,47500,739
8.0,95000,0,0.2,0,47500,46719,61101,47498,779
9.0,95000,0,0.2,0,47500,46743,58145,47500,757
15.0,95000,0,0.225,0,47500,46759,47551,47500,741
7.0,95000,0,0.2,0,47500,46387,65385,47500,1113
2.0,95000,0,0.2,0,47500,44873,85652,47150,2277
14.0,95000,1,0.225,42,47500,46228,47580,47500,1272
13.0,95000,0,0.25,0,47500,46619,47505,47500,881
5.0,95000,0,0.2,0,47500,46920,73971,47500,580
4.0,95000,0,0.2,0,47500,46530,78434,47499,969
15.0,95000,0,0.25,0,47500,46759,47501,47500,741
11.0,95000,0,0.225,0,47500,46873,48234,47500,627
14.0,95000,1,0.25,42,47500,46228,47503,47500,1272
12.0,95000,0,0.25,0,47500,46997,47517,47500,503
10.0,95000,0,0.225,0,47500,46920,48814,47500,580
6.0,95000,0,0.225,0,47500,46761,56600,47497,736
8.0,95000,0,0.225,0,47500,46719,51219,47498,779
3.0,95000,0,0.2,0,47500,45482,82391,47488,2006
9.0,95000,0,0.225,0,47500,46743,49713,47500,757
7.0,95000,0,0.225,0,47500,46387,53430,47498,1111
15.0,95000,1,0.025,42,47500,46764,95000,46764,0
14.0,95000,2,0.025,84,47500,47024,95000,47024,0
1.0,95000,0,0.175,0,47652,47652,92133,47625,-27
13.0,95000,1,0.025,42,47500,46447,95000,46447,0
2.0,95000,0,0.225,0,47500,44873,77936,47440,2567
11.0,95000,0,0.25,0,47500,46873,47543,47498,625
5.0,95000,0,0.225,0,47500,46920,60777,47499,579
14.0,95000,2,0.05,84,47500,47024,95000,47024,0
4.0,95000,0,0.225,0,47500,46530,65843,47498,968
12.0,95000,1,0.025,42,47500,45781,95000,45781,0
15.0,95000,1,0.05,42,47500,46764,95000,46764,0
10.0,95000,0,0.25,0,47500,46920,47602,47498,578
6.0,95000,0,0.25,0,47500,46761,50126,47495,734
8.0,95000,0,0.25,0,47500,46719,48045,47498,779
9.0,95000,0,0.25,0,47500,46743,47785,47498,755
7.0,95000,0,0.25,0,47500,46387,48710,47497,1110
14.0,95000,2,0.075,84,47500,47024,94999,47023,-1
3.0,95000,0,0.225,0,47500,45482,71849,47494,2012
13.0,95000,1,0.05,42,47500,46447,95000,46447,0
2.0,95000,0,0.25,0,47500,44873,69301,47452,2579
15.0,95000,1,0.075,42,47500,46764,95000,46764,0
14.0,95000,2,0.1,84,47500,47024,94891,46671,-353
1.0,95000,0,0.2,0,47652,47652,87757,47586,-66
12.0,95000,1,0.05,42,47500,45781,95000,45781,0
11.0,95000,1,0.025,42,47500,45990,95000,45990,0
5.0,95000,0,0.25,0,47500,46920,52437,47494,574
4.0,95000,0,0.25,0,47500,46530,55524,47491,961
15.0,95000,1,0.1,42,47500,46764,94862,46764,0
14.0,95000,2,0.125,84,47500,47024,92699,47271,247
10.0,95000,1,0.025,42,47500,46585,95000,46585,0
6.0,95000,1,0.025,42,47500,46535,95000,46535,0
8.0,95000,1,0.025,42,47500,46449,95000,46449,0
7.0,95000,1,0.025,42,47500,46197,95000,46197,0
9.0,95000,1,0.025,42,47500,46714,95000,46714,0
13.0,95000,1,0.075,42,47500,46447,95000,46447,0
2.0,95000,1,0.025,42,47500,44764,95000,44764,0
15.0,95000,1,0.125,42,47500,46764,91853,47451,687
14.0,95000,2,0.15,84,47500,47024,79904,47500,476
3.0,95000,0,0.25,0,47500,45482,60767,47484,2002
12.0,95000,1,0.075,42,47500,45781,95000,45781,0
14.0,95000,2,0.175,84,47500,47024,59694,47500,476
1.0,95000,0,0.225,0,47652,47652,82752,47519,-133
11.0,95000,1,0.05,42,47500,45990,95000,45990,0
15.0,95000,1,0.15,42,47500,46764,77343,47500,736
4.0,95000,1,0.025,42,47500,46314,95000,46314,0
5.0,95000,1,0.025,42,47500,46943,95000,46943,0
6.0,95000,1,0.05,42,47500,46535,95000,46535,0
10.0,95000,1,0.05,42,47500,46585,95000,46585,0
14.0,95000,2,0.2,84,47500,47024,49205,47500,476
13.0,95000,1,0.1,42,47500,46447,94898,46169,-278
8.0,95000,1,0.05,42,47500,46449,95000,46449,0
7.0,95000,1,0.05,42,47500,46197,95000,46197,0
2.0,95000,1,0.05,42,47500,44764,95000,44764,0
9.0,95000,1,0.05,42,47500,46714,95000,46714,0
15.0,95000,1,0.175,42,47500,46764,56764,47500,736
14.0,95000,2,0.225,84,47500,47024,47594,47500,476
12.0,95000,1,0.1,42,47500,45781,94922,45781,0
3.0,95000,1,0.025,42,47500,44724,95000,44724,0
15.0,95000,1,0.2,42,47500,46764,48530,47500,736
14.0,95000,2,0.25,84,47500,47024,47503,47500,476
11.0,95000,1,0.075,42,47500,45990,95000,45990,0
1.0,95000,0,0.25,0,47652,47652,76297,47422,-230
4.0,95000,1,0.05,42,47500,46314,95000,46314,0
6.0,95000,1,0.075,42,47500,46535,94999,46534,-1
13.0,95000,1,0.125,42,47500,46447,92874,47167,720
2.0,95000,1,0.075,42,47500,44764,94995,44753,-11
14.0,95000,3,0.025,126,47500,47210,95000,47210,0
5.0,95000,1,0.05,42,47500,46943,95000,46943,0
10.0,95000,1,0.075,42,47500,46585,95000,46585,0
15.0,95000,1,0.225,42,47500,46764,47534,47500,736
7.0,95000,1,0.075,42,47500,46197,95000,46197,0
8.0,95000,1,0.075,42,47500,46449,95000,46449,0
12.0,95000,1,0.125,42,47500,45781,93247,47123,1342
9.0,95000,1,0.075,42,47500,46714,95000,46714,0
14.0,95000,3,0.05,126,47500,47210,95000,47210,0
15.0,95000,1,0.25,42,47500,46764,47501,47500,736
3.0,95000,1,0.05,42,47500,44724,95000,44724,0
11.0,95000,1,0.1,42,47500,45990,94932,45990,0
14.0,95000,3,0.075,126,47500,47210,94997,47207,-3
13.0,95000,1,0.15,42,47500,46447,81691,47500,1053
2.0,95000,1,0.1,42,47500,44764,94956,44640,-124
4.0,95000,1,0.075,42,47500,46314,95000,46314,0
1.0,95000,1,0.025,42,47666,47666,94998,47666,0
6.0,95000,1,0.1,42,47500,46535,94979,46514,-21
15.0,95000,2,0.025,84,47500,47034,95000,47034,0
7.0,95000,1,0.1,42,47500,46197,94971,46168,-29
10.0,95000,1,0.1,42,47500,46585,94938,46493,-92
14.0,95000,3,0.1,126,47500,47210,94898,47108,-102
12.0,95000,1,0.15,42,47500,45781,83590,47500,1719
5.0,95000,1,0.075,42,47500,46943,94999,46942,-1
8.0,95000,1,0.1,42,47500,46449,94971,46420,-29
9.0,95000,1,0.1,42,47500,46714,94960,46646,-68
15.0,95000,2,0.05,84,47500,47034,95000,47034,0
14.0,95000,3,0.125,126,47500,47210,92689,47407,197
13.0,95000,1,0.175,42,47500,46447,61536,47500,1053
2.0,95000,1,0.125,42,47500,44764,94702,43882,-882
3.0,95000,1,0.075,42,47500,44724,94997,44722,-2
11.0,95000,1,0.125,42,47500,45990,93585,47162,1172
6.0,95000,1,0.125,42,47500,46535,94573,45674,-861
14.0,95000,3,0.15,126,47500,47210,79920,47500,290
15.0,95000,2,0.075,84,47500,47034,95000,47034,0
4.0,95000,1,0.1,42,47500,46314,94965,46243,-71
12.0,95000,1,0.175,42,47500,45781,63919,47500,1719
1.0,95000,1,0.05,42,47666,47666,94996,47666,0
7.0,95000,1,0.125,42,47500,46197,94440,44817,-1380
10.0,95000,1,0.125,42,47500,46585,93815,46667,82
14.0,95000,3,0.175,126,47500,47210,59576,47500,290
8.0,95000,1,0.125,42,47500,46449,94320,46325,-124
5.0,95000,1,0.1,42,47500,46943,94973,46917,-26
15.0,95000,2,0.1,84,47500,47034,94876,46714,-320
9.0,95000,1,0.125,42,47500,46714,94113,46856,142
13.0,95000,1,0.2,42,47500,46447,49943,47500,1053
14.0,95000,3,0.2,126,47500,47210,49280,47500,290
2.0,95000,1,0.15,42,47500,44764,93816,45279,515
12.0,95000,1,0.2,42,47500,45781,51019,47500,1719
15.0,95000,2,0.125,84,47500,47034,92241,47402,368
6.0,95000,1,0.15,42,47500,46535,91949,47168,633
11.0,95000,1,0.15,42,47500,45990,85399,47500,1510
14.0,95000,3,0.225,126,47500,47210,47615,47500,290
3.0,95000,1,0.1,42,47500,44724,94968,44544,-180
4.0,95000,1,0.125,42,47500,46314,94705,45705,-609
7.0,95000,1,0.15,42,47500,46197,91003,47379,1182
1.0,95000,1,0.075,42,47666,47666,94982,47666,0
14.0,95000,3,0.25,126,47500,47210,47504,47500,290
13.0,95000,1,0.225,42,47500,46447,47669,47500,1053
10.0,95000,1,0.15,42,47500,46585,87066,47500,915
15.0,95000,2,0.15,84,47500,47034,77778,47500,466
8.0,95000,1,0.15,42,47500,46449,90107,47376,927
2.0,95000,1,0.175,42,47500,44764,91394,45284,520
5.0,95000,1,0.125,42,47500,46943,94616,46374,-569
9.0,95000,1,0.15,42,47500,46714,88620,47500,786
14.0,95000,4,0.025,168,47500,46623,95000,46623,0
12.0,95000,1,0.225,42,47500,45781,47831,47500,1719
15.0,95000,2,0.175,84,47500,47034,57430,47500,466
6.0,95000,1,0.175,42,47500,46535,83293,47489,954
11.0,95000,1,0.175,42,47500,45990,67090,47500,1510
14.0,95000,4,0.05,168,47500,46623,95000,46623,0
13.0,95000,1,0.25,42,47500,46447,47502,47500,1053
3.0,95000,1,0.125,42,47500,44724,94737,45507,783
7.0,95000,1,0.175,42,47500,46197,80166,47500,1303
4.0,95000,1,0.15,42,47500,46314,93185,46723,409
15.0,95000,2,0.2,84,47500,47034,48629,47500,466
14.0,95000,4,0.075,168,47500,46623,94996,46623,0
10.0,95000,1,0.175,42,47500,46585,70335,47500,915
12.0,95000,1,0.25,42,47500,45781,47518,47499,1718
1.0,95000,1,0.1,42,47666,47666,94895,47666,0
2.0,95000,1,0.2,42,47500,44764,85495,47231,2467
8.0,95000,1,0.175,42,47500,46449,76854,47500,1051
15.0,95000,2,0.225,84,47500,47034,47542,47500,466
5.0,95000,1,0.15,42,47500,46943,92558,46832,-111
14.0,95000,4,0.1,168,47500,46623,94918,46623,0
9.0,95000,1,0.175,42,47500,46714,73795,47500,786
6.0,95000,1,0.2,42,47500,46535,68782,47499,964
13.0,95000,2,0.025,84,47500,46497,95000,46497,0
11.0,95000,1,0.2,42,47500,45990,52713,47500,1510
14.0,95000,4,0.125,168,47500,46623,92698,47315,692
15.0,95000,2,0.25,84,47500,47034,47500,47500,466
7.0,95000,1,0.2,42,47500,46197,64716,47500,1303
4.0,95000,1,0.175,42,47500,46314,88088,47417,1103
12.0,95000,2,0.025,84,47500,46704,95000,46704,0
3.0,95000,1,0.15,42,47500,44724,93585,45513,789
10.0,95000,1,0.2,42,47500,46585,54606,47500,915
14.0,95000,4,0.15,168,47500,46623,79741,47500,877
2.0,95000,1,0.225,42,47500,44764,77559,47455,2691
15.0,95000,3,0.025,126,47500,46327,95000,46327,0
8.0,95000,1,0.2,42,47500,46449,60875,47500,1051
1.0,95000,1,0.125,42,47666,47666,94505,47656,-10
14.0,95000,4,0.175,168,47500,46623,59451,47500,877
13.0,95000,2,0.05,84,47500,46497,95000,46497,0
6.0,95000,1,0.225,42,47500,46535,56167,47498,963
9.0,95000,1,0.2,42,47500,46714,57444,47500,786
5.0,95000,1,0.175,42,47500,46943,85788,47492,549
11.0,95000,1,0.225,42,47500,45990,48124,47500,1510
15.0,95000,3,0.05,126,47500,46327,95000,46327,0
7.0,95000,1,0.225,42,47500,46197,53102,47499,1302
14.0,95000,4,0.2,168,47500,46623,49194,47500,877
12.0,95000,2,0.05,84,47500,46704,95000,46704,0
4.0,95000,1,0.2,42,47500,46314,77850,47500,1186
10.0,95000,1,0.225,42,47500,46585,48618,47500,915
2.0,95000,1,0.25,42,47500,44764,68867,47468,2704
14.0,95000,4,0.225,168,47500,46623,47577,47500,877
15.0,95000,3,0.075,126,47500,46327,94999,46326,-1
3.0,95000,1,0.175,42,47500,44724,89542,47144,2420
8.0,95000,1,0.225,42,47500,46449,50893,47500,1051
13.0,95000,2,0.075,84,47500,46497,95000,46497,0
6.0,95000,1,0.25,42,47500,46535,49944,47497,962
14.0,95000,4,0.25,168,47500,46623,47504,47500,877
11.0,95000,1,0.25,42,47500,45990,47544,47500,1510
9.0,95000,1,0.225,42,47500,46714,49448,47500,786
15.0,95000,3,0.1,126,47500,46327,94880,46045,-282
1.0,95000,1,0.15,42,47666,47666,93401,47638,-28
7.0,95000,1,0.25,42,47500,46197,48629,47498,1301
5.0,95000,1,0.2,42,47500,46943,73285,47500,557
12.0,95000,2,0.075,84,47500,46704,94999,46703,-1
14.0,95000,5,0.025,210,47500,47030,95000,47030,0
